,answer,keywords
3384,the cape of good hope,Cape Dias Bartolomeu Storms India Europe South promontory Africa King John called reached named Horn Gooseberry False Hangklip Asia discovery sign good geography world exploration portuguys ironic nearby sighted died grow origin cultivated lie phrase referred buffalo hope thought favorable
1049,the caribbean,island bahamas World Caribbean water Black Francis Drake Venezuela body grand American Mediterranean Pacific Ocean Antigua Mexico Bonaire Cartagena Cayman greatest buried named gulf bolívar emerald considered part region located multiple choice depth historic raided eventually Isle witch shade blue
3204,the caribbean sea,Gulf Lesser body water Antilles Cayman Trench Mexico Cuba sea island Darien Navassa named inhabited greatest depth Panama Canal Indians Colombia Uraba Heading Yucatan Major Mosquito Guantanamo Base Barthelemy Bart France Nevis Windward Passage Spanish Main Belize Barbuda Nicaragua Honduras
4044,the cars,Ocasek group video Drive rock Shake music wave album Candy-O band Appropriately Needed Timothy Hutton Vargas Panorama Heartbeat City Supermodel Paulina Porizkova Central Park heard artist quintet people directed body classic drawing pin-up graced cover begin lachrymose singer sang thinking
2707,the cascades,Mount range Saint peak Helens Shasta Oregon Washington Lassen California Hood geography Northern state Pacific Sierra highest called volcano american rise foot eruption lower Wash trail Crest Nevada continuation well-known part east proposed Sisters Early Faith Hope Charity United Columbia
1159,the caspian sea,lake water body river largest World Volga Russia Turkmenistan Superior inland kazakhstan Azerbaijan border salt country Asian foot Baku geography time mile Gulf Ural level capital sea point lie iran flow northern globe landlocked called including Europe Noted Fresh Ladoga
2213,the cat in the hat,Seuss character Back feline title animal thing sequel kid literature Sally fictional hat fish famous adventure child Landing Cathy Rigby Rosie Musical Spanish Gato Ensombrerado book home looked Leap brother rainy Dick Jane Mike Myers universal studio island rollicking ride
3106,the catcher in the rye,Holden Caulfield Salinger York City literature Phoebe Pencey title school prep book american cover iconic classic character expelled sister cliff named Caine Mutiny Eternity Johnny Bench Guardian Entre Centeno Park included acclaimed chronicle day valedictorian woman prominent popular modern famous
4898,the caucasus,Mount Georgia Elbrus Europe range Russia Asia geography highest cave foot border system Black peak people Military Tbilisi Baku Grozny Circassians Kavkaz Republic Krubera Sochi Winter Olympics deepest view glacier divide major city field including comrade today main converge rise
4248,the cello,instrument violin member musical family Pablo Casals Yo-Yo concerto bach britten playing second-largest Gregor Jacqueline bass time wrote William Walton Piatigorsky Mstislav Rostropovich Zoltan Kodaly Elgar double largest kjpy radio hour featuring orchestra regarded world virtuoso free baby started suite
5125,the census,year government USSR survey taking population slave determined counted roman held april Bureau type decennial marshal Supreme Dec. York Americans time constitution result event data guy responsible fool official plan charge meeting congress ruled city predict future submitted total class
4183,the channel islands,Jersey British group island France Germans WWII part Isles largest occupied raleigh bailiwick history Cherbourg dispute Saint Helier Chief Sark Situated California Cruz plea divided century back town administrative purpose call appointed governor northern coast soil parliament named monarchy website
3039,the cherokee,american Native trail Tears tribe Oklahoma Southeast march indian Wilma Mankiller member chief woman forced died Eastern history people winter 1838-39 Paul Tragically Rogers proud syllabary Revere West Tahlequah Supreme Court Christian Sequoyah John Ross British Dragging Canoe Tanasi Tennessee
5118,the chesapeake,Virginia Maryland Atlantic River baltimore Patapsco bridge coast lie geography mile Harbor Tides William Warner Beautiful Swimmers Treasure Susquehanna Potomac Beneath Delmarva tunnel peninsula body crab state size link largest major port city nonfiction pulitzer exploration blue special interest license
4544,the cheshire cat,Alice Wonderland lewis carroll grin feline kitty slowly beginning tail character vanished Adventures Winnie Pooh Sterling Holloway Duchess literature work disappear claw smile story century author part brit disney film purr-fect chatty belongs enigmatic great teeth visualliteration cheerful left danger
3314,the chicago bears,Bowl Super team Shuffle Field Dominating defense coach mascot sport football Billy Richard Illinois Halas Mike Ryan moved game safety number Bronko Nagurski Williams Dent University Soldier Thrower Wrigley Beating Patriots George Singletary Buddy Doug Plank Staley year music recorded
4557,the chrysler building,building deco skyscraper Lexington radiator William Alen Avenue york cap city manhattan architect landmark Completed Dhabi call design world VIDEO DAILY DOUBLE Travel Stephen Birnbaum Princess Skyline Empire State Investment Council Edward Trumbull Transport Human Endeavor dummie american paid floor
1602,the cia,agency George Bush William director government secret Admiral Stansfield Turner Carter National Colby Langley Virginia Allen Dulles headed John Intelligence World Factbook life year online organization rhodes american symbolizing scholar hail chief served Emma commission Advisor Lake Forced Casey Webster
5069,the citadel,Carolina South military college Charleston Nancy Mace academy female Shannon Faulkner Conroy fortress school graduate Unlike August Civil Located Read Boo Fort Sumter education woman higher century remember band year author wrote alma admitted required shaved notable thinking play bagpipe
259,the civil war,general battle Lincoln Burns american history poet Bruce book Catton Medal Reconstruction Published Andersonville Walter John Dickinson author Hayes Garfield Benjamin Harrison Battlepieces Stephen Crane Mathew Brady Badge Trench Georgia Sidney Lanier Maryland Winslow Homer Prisoners Front Congressional Rose Greenhow
4347,the clash,rock London Calling Casbah Stay band group Strummer train October British Sadly Hall Fame Lester Combat album punk sang musical original frequently featured day extraordinary joes heard fightin word biggest guitarist died month inducted missing link black white noise hidden
3288,the coast guard,Armed Boston branch lighthouse service Harbor military Paratus Semper navy Light prepared meaning government Island Aug. Revenue United States Brewster South Carolina Florida Georgia Cutter jurisdiction boat home find manned Forces organization motto wartime page category honor founded official song
1138,the color purple,Walker Alice Celie Oprah film Avery Pulitzer sister Whoopi Goldberg based Miss Nettie broadway movie Shug musical letter River Prize african-american Oscar Steven fictional character American Quincy Jones Spielberg Winfrey Margaret Blues David topped time written color making nomination child
2057,the colorado,river Yuma Arizona water Grand Canyon Lake Mead phoenix Rockies Mexico body stately border Utah Green damming west Gila Coronado Hernando Alarcon largest city created supply major California bridge tributary geography lying sailed ship main Arizona-Nevada enters formed join hispanic
2847,the colorado river,California river Canyon Grand Powell Gulf water Arizona lake flow Wesley John state mile Glen Utah body landmass natural resident journey dispute ended resource working deepening voyager successful navigation fight geography form boundary tributary Needles Baja Norte Sonora Hernando Alarcon
1391,the colosseum,Roman Flavian arena Amphitheatre landmark Vespasian dedicated ancient flinchius Titus travel Jackson July year Childcraft Encyclopedia Oedipus Edgar Allan begun tourism world largest famous game building Blood Christian city history structure long abolished gladiatorial production home entry flooding mock naval
1657,the columbia,river Oregon Island bridge Pacific Washington roll space shuttle Lewis Clark Astoria Grand Coulee Willamette body water border launched mile flow cross named Missouri Robert April Canadian Wash French John Young Yukon Hemisphere Jefferson Northwestern Chief Joseph Rock Bonneville Bateman
4814,the comedy of errors,Shakespeare twin Antipholus comedy play Historie Error Considered title Dromio brother mistaken line english set literature originally hero show wanted read involving shortest named funny identity Hamlet FORESTRY CHEER DOOM Syracuse Scene Basting speaks pair baseball expression meaning ridiculous series
3277,the communist party,party political Secretary lenin million world General time People chinese king woody guthrie romania hall bela published manifesto member flag Joseph Formed July America Cuba Dissolved Dec. Hungary Stalin Committee Disillusioned Ghana National Assembly Power Simeon Bulgaria Alexander Dubcek russian
3031,the concorde,supersonic plane Airways transport British July March flight made Oct. airliner hour retired ended provide passenger flying built construction April Barbara train aviation service Harmer Paris York City century automobile commercial history final Joan Brinkley October aircraft Sept. Collins Christie
1121,the congo,africa river Zaire republic country Brazzaville Belgian Kinshasa Democratic King second-longest Leopold water Boomlay world Pierre Amazon Ebola Nile carry capital equator colony called history personal domain gov source west explorer city Moise Lindsay Baudouin Lumumba Tshombe Katanga French Savorgnon
